Cycle_Number,Voltage_V,Capacity_mAh,Test_Time_s,Current_A
3,3.2172,5.0,300,0.02
3,3.2427,5.5,330,0.02
3,3.2562,6.0,360,0.02
3,3.2733,6.5,390,0.02
3,3.2995,7.0,420,0.02
3,3.3189,7.5,450,0.02
3,3.3321,8.0,480,0.02
3,3.3531,8.5,510,0.02
3,3.3721,9.0,540,0.02
3,3.379,9.5,570,0.02
3,3.395,10.0,600,0.02
3,3.4154,10.5,630,0.02
3,3.4312,11.0,660,0.02
3,3.4455,11.5,690,0.02
3,3.4524,12.0,720,0.02
3,3.479,12.5,750,0.02
3,3.4887,13.0,780,0.02
3,3.5036,13.5,810,0.02
3,3.5143,14.0,840,0.02
3,3.5292,14.5,870,0.02
3,3.5509,15.0,900,0.02
3,3.5574,15.5,930,0.02
3,3.5644,16.0,960,0.02
3,3.5878,16.5,990,0.02
3,3.5961,17.0,1020,0.02
3,3.6054,17.5,1050,0.02
3,3.6129,18.0,1080,0.02
3,3.6294,18.5,1110,0.02
3,3.6357,19.0,1140,0.02
3,3.6442,19.5,1170,0.02
3,3.6623,20.0,1200,0.02
3,3.668,20.5,1230,0.02
3,3.68,21.0,1260,0.02
3,3.6904,21.5,1290,0.02
3,3.7065,22.0,1320,0.02
3,3.711,22.5,1350,0.02
3,3.7281,23.0,1380,0.02
3,3.7384,23.5,1410,0.02
3,3.75,24.0,1440,0.02
3,3.7448,24.5,1470,0.02
3,3.758,25.0,1500,0.02
3,3.7624,25.5,1530,0.02
3,3.7846,26.0,1560,0.02
3,3.7827,26.5,1590,0.02
3,3.7945,27.0,1620,0.02
3,3.8073,27.5,1650,0.02
3,3.8093,28.0,1680,0.02
3,3.8263,28.5,1710,0.02
3,3.8303,29.0,1740,0.02
3,3.8319,29.5,1770,0.02
3,3.8464,30.0,1800,0.02
3,3.8447,30.5,1830,0.02
3,3.8607,31.0,1860,0.02
3,3.869,31.5,1890,0.02
3,3.8654,32.0,1920,0.02
3,3.8703,32.5,1950,0.02
3,3.8863,33.0,1980,0.02
3,3.8942,33.5,2010,0.02
3,3.888,34.0,2040,0.02
3,3.906,34.5,2070,0.02
3,3.9027,35.0,2100,0.02
3,3.9076,35.5,2130,0.02
3,3.9138,36.0,2160,0.02
3,3.919,36.5,2190,0.02
3,3.9247,37.0,2220,0.02
3,3.9416,37.5,2250,0.02
3,3.9391,38.0,2280,0.02
3,3.9463,38.5,2310,0.02
3,3.953,39.0,2340,0.02
3,3.9486,39.5,2370,0.02
3,3.9615,40.0,2400,0.02
3,3.9607,40.5,2430,0.02
3,3.9673,41.0,2460,0.02
3,3.9757,41.5,2490,0.02
3,3.9852,42.0,2520,0.02
3,3.9762,42.5,2550,0.02
3,3.9886,43.0,2580,0.02
3,3.9954,43.5,2610,0.02
3,4.0013,44.0,2640,0.02
3,3.9988,44.5,2670,0.02
3,4.0035,45.0,2700,0.02
3,4.0079,45.5,2730,0.02
3,4.0167,46.0,2760,0.02
3,4.0187,46.5,2790,0.02
3,4.0206,47.0,2820,0.02
3,4.0146,47.5,2850,0.02
3,4.0232,48.0,2880,0.02
3,4.0366,48.5,2910,0.02
3,4.0311,49.0,2940,0.02
3,4.0321,49.5,2970,0.02
3,4.0313,50.0,3000,0.02
3,4.0461,50.5,3030,0.02
3,4.0507,51.0,3060,0.02
3,4.0408,51.5,3090,0.02
3,4.0553,52.0,3120,0.02
3,4.0501,52.5,3150,0.02
3,4.05,53.0,3180,0.02
3,4.0601,53.5,3210,0.02
3,4.065,54.0,3240,0.02
3,4.0618,54.5,3270,0.02
3,4.0613,55.0,3300,0.02
3,4.0709,55.5,3330,0.02
3,4.0737,56.0,3360,0.02
3,4.0709,56.5,3390,0.02
3,4.0866,57.0,3420,0.02
3,4.0752,57.5,3450,0.02
3,4.0782,58.0,3480,0.02
3,4.0861,58.5,3510,0.02
3,4.0868,59.0,3540,0.02
3,4.0932,59.5,3570,0.02
3,4.09,60.0,3600,0.02
3,4.0965,60.5,3630,0.02
3,4.1043,61.0,3660,0.02
3,4.091,61.5,3690,0.02
3,4.0956,62.0,3720,0.02
3,4.1004,62.5,3750,0.02
3,4.1093,63.0,3780,0.02
3,4.1061,63.5,3810,0.02
3,4.1077,64.0,3840,0.02
3,4.1068,64.5,3870,0.02
3,4.1111,65.0,3900,0.02
3,4.1209,65.5,3930,0.02
3,4.123,66.0,3960,0.02
3,4.1237,66.5,3990,0.02
3,4.1116,67.0,4020,0.02
3,4.1266,67.5,4050,0.02
3,4.1248,68.0,4080,0.02
3,4.127,68.5,4110,0.02
3,4.1269,69.0,4140,0.02
3,4.1321,69.5,4170,0.02
3,4.1239,70.0,4200,0.02
3,4.1361,70.5,4230,0.02
3,4.1273,71.0,4260,0.02
3,4.1375,71.5,4290,0.02
3,4.1368,72.0,4320,0.02
3,4.1378,72.5,4350,0.02
3,4.1317,73.0,4380,0.02
3,4.1356,73.5,4410,0.02
3,4.141,74.0,4440,0.02
3,4.1458,74.5,4470,0.02
3,4.1389,75.0,4500,0.02
3,4.1344,75.5,4530,0.02
3,4.1363,76.0,4560,0.02
3,4.1383,76.5,4590,0.02
3,4.1528,77.0,4620,0.02
3,4.1505,77.5,4650,0.02
3,4.1542,78.0,4680,0.02
3,4.1439,78.5,4710,0.02
3,4.1503,79.0,4740,0.02
3,4.15,79.5,4770,0.02
3,4.1522,80.0,4800,0.02
3,4.158,80.5,4830,0.02
3,4.1532,81.0,4860,0.02
3,4.1528,81.5,4890,0.02
3,4.1636,82.0,4920,0.02
3,4.1571,82.5,4950,0.02
3,4.1634,83.0,4980,0.02
3,4.1616,83.5,5010,0.02
3,4.153,84.0,5040,0.02
3,4.1624,84.5,5070,0.02
3,4.1565,85.0,5100,0.02
3,4.169,85.5,5130,0.02
3,4.1669,86.0,5160,0.02
3,4.1558,86.5,5190,0.02
3,4.1687,87.0,5220,0.02
3,4.1666,87.5,5250,0.02
3,4.1653,88.0,5280,0.02
3,4.1664,88.5,5310,0.02
3,4.1669,89.0,5340,0.02
3,4.1612,89.5,5370,0.02
3,4.1742,90.0,5400,0.02
3,4.1723,90.5,5430,0.02
3,4.1705,91.0,5460,0.02
3,4.1777,91.5,5490,0.02
3,4.176,92.0,5520,0.02
3,4.166,92.5,5550,0.02
3,4.1678,93.0,5580,0.02
3,4.1644,93.5,5610,0.02
3,4.1805,94.0,5640,0.02
3,4.1766,94.5,5670,0.02
3,4.1709,95.0,5700,0.02
3,4.1753,95.5,5730,0.02
3,4.1754,96.0,5760,0.02
3,4.1734,96.5,5790,0.02
3,4.1748,97.0,5820,0.02
3,4.177,97.5,5850,0.02
3,4.1803,98.0,5880,0.02
3,4.1697,98.5,5910,0.02
3,4.1728,99.0,5940,0.02
3,4.1708,99.5,5970,0.02
4,3.0,0.0,0,0.02
4,3.031,0.4987,30,0.02
4,3.0403,0.9975,60,0.02
4,3.0676,1.4962,90,0.02
4,3.0877,1.995,120,0.02
4,3.1151,2.4937,150,0.02
4,3.1415,2.9925,180,0.02
4,3.1576,3.4912,210,0.02
4,3.1734,3.9899,240,0.02
4,3.2065,4.4887,270,0.02
4,3.2192,4.9874,300,0.02
4,3.2336,5.4862,330,0.02
4,3.2562,5.9849,360,0.02
4,3.2737,6.4837,390,0.02
4,3.3016,6.9824,420,0.02
4,3.3062,7.4812,450,0.02
4,3.3347,7.9799,480,0.02
4,3.3409,8.4786,510,0.02
4,3.3595,8.9774,540,0.02
4,3.3789,9.4761,570,0.02
4,3.3914,9.9749,600,0.02
4,3.4125,10.4736,630,0.02
4,3.431,10.9724,660,0.02
4,3.4449,11.4711,690,0.02
4,3.4544,11.9698,720,0.02
4,3.4694,12.4686,750,0.02
4,3.4873,12.9673,780,0.02
4,3.5073,13.4661,810,0.02
4,3.5187,13.9648,840,0.02
4,3.5238,14.4636,870,0.02
4,3.5493,14.9623,900,0.02
4,3.5518,15.4611,930,0.02
4,3.5632,15.9598,960,0.02
4,3.581,16.4585,990,0.02
4,3.5923,16.9573,1020,0.02
4,3.6106,17.456,1050,0.02
4,3.6223,17.9548,1080,0.02
4,3.6221,18.4535,1110,0.02
4,3.6371,18.9523,1140,0.02
4,3.6553,19.451,1170,0.02
4,3.6682,19.9497,1200,0.02
4,3.6683,20.4485,1230,0.02
4,3.6898,20.9472,1260,0.02
4,3.6942,21.446,1290,0.02
4,3.6993,21.9447,1320,0.02
4,3.7223,22.4435,1350,0.02
4,3.7186,22.9422,1380,0.02
4,3.7379,23.441,1410,0.02
4,3.7378,23.9397,1440,0.02
4,3.7577,24.4384,1470,0.02
4,3.7574,24.9372,1500,0.02
4,3.7625,25.4359,1530,0.02
4,3.7853,25.9347,1560,0.02
4,3.7813,26.4334,1590,0.02
4,3.7934,26.9322,1620,0.02
4,3.8101,27.4309,1650,0.02
4,3.8162,27.9296,1680,0.02
4,3.8201,28.4284,1710,0.02
4,3.8259,28.9271,1740,0.02
4,3.8341,29.4259,1770,0.02
4,3.8404,29.9246,1800,0.02
4,3.8496,30.4234,1830,0.02
4,3.8624,30.9221,1860,0.02
4,3.862,31.4209,1890,0.02
4,3.8694,31.9196,1920,0.02
4,3.8685,32.4183,1950,0.02
4,3.8816,32.9171,1980,0.02
4,3.8829,33.4158,2010,0.02
4,3.8989,33.9146,2040,0.02
4,3.9064,34.4133,2070,0.02
4,3.9138,34.9121,2100,0.02
4,3.9104,35.4108,2130,0.02
4,3.9171,35.9095,2160,0.02
4,3.9264,36.4083,2190,0.02
4,3.93,36.907,2220,0.02
4,3.9388,37.4058,2250,0.02
4,3.9376,37.9045,2280,0.02
4,3.9407,38.4033,2310,0.02
4,3.9521,38.902,2340,0.02
4,3.9514,39.4008,2370,0.02
4,3.9541,39.8995,2400,0.02
4,3.9686,40.3982,2430,0.02
4,3.9623,40.897,2460,0.02
4,3.9765,41.3957,2490,0.02
4,3.9802,41.8945,2520,0.02
4,3.9755,42.3932,2550,0.02
4,3.9804,42.892,2580,0.02
4,3.9963,43.3907,2610,0.02
4,3.9948,43.8894,2640,0.02
4,4.0049,44.3882,2670,0.02
4,4.0,44.8869,2700,0.02
4,4.0104,45.3857,2730,0.02
4,4.0061,45.8844,2760,0.02
4,4.0225,46.3832,2790,0.02
4,4.0155,46.8819,2820,0.02
4,4.0165,47.3807,2850,0.02
4,4.0258,47.8794,2880,0.02
4,4.0303,48.3781,2910,0.02
4,4.0399,48.8769,2940,0.02
4,4.034,49.3756,2970,0.02
4,4.0413,49.8744,3000,0.02
4,4.0503,50.3731,3030,0.02
4,4.0425,50.8719,3060,0.02
4,4.0546,51.3706,3090,0.02
4,4.0478,51.8693,3120,0.02
4,4.0601,52.3681,3150,0.02
4,4.0506,52.8668,3180,0.02
4,4.0547,53.3656,3210,0.02
4,4.0592,53.8643,3240,0.02
4,4.0596,54.3631,3270,0.02
4,4.0667,54.8618,3300,0.02
4,4.0734,55.3606,3330,0.02
4,4.0693,55.8593,3360,0.02
4,4.0692,56.358,3390,0.02
4,4.0779,56.8568,3420,0.02
4,4.0796,57.3555,3450,0.02
4,4.0874,57.8543,3480,0.02
4,4.0916,58.353,3510,0.02
4,4.095,58.8518,3540,0.02
4,4.0981,59.3505,3570,0.02
4,4.0999,59.8492,3600,0.02
4,4.099,60.348,3630,0.02
4,4.0907,60.8467,3660,0.02
4,4.1041,61.3455,3690,0.02
4,4.0934,61.8442,3720,0.02
4,4.1103,62.343,3750,0.02
4,4.0991,62.8417,3780,0.02
4,4.1022,63.3405,3810,0.02
4,4.1149,63.8392,3840,0.02
4,4.1115,64.3379,3870,0.02
4,4.1195,64.8367,3900,0.02
4,4.1072,65.3354,3930,0.02
4,4.1218,65.8342,3960,0.02
4,4.1186,66.3329,3990,0.02
4,4.1201,66.8317,4020,0.02
4,4.1148,67.3304,4050,0.02
4,4.1276,67.8291,4080,0.02
4,4.1312,68.3279,4110,0.02
4,4.1255,68.8266,4140,0.02
4,4.1247,69.3254,4170,0.02
4,4.1354,69.8241,4200,0.02
4,4.1319,70.3229,4230,0.02
4,4.1334,70.8216,4260,0.02
4,4.1327,71.3204,4290,0.02
4,4.1281,71.8191,4320,0.02
4,4.1344,72.3178,4350,0.02
4,4.1418,72.8166,4380,0.02
4,4.1389,73.3153,4410,0.02
4,4.1456,73.8141,4440,0.02
4,4.137,74.3128,4470,0.02
4,4.1351,74.8116,4500,0.02
4,4.1412,75.3103,4530,0.02
4,4.1355,75.809,4560,0.02
4,4.1503,76.3078,4590,0.02
4,4.1487,76.8065,4620,0.02
4,4.1469,77.3053,4650,0.02
4,4.1503,77.804,4680,0.02
4,4.1448,78.3028,4710,0.02
